ID,displacement,cylinders,horsepower,weight,acceleration,model_year,origin,mpg
1,307.0,8,130.0,3504,12.0,70,1,18.0
2,350.0,8,165.0,3693,11.5,70,1,15.0
3,318.0,8,150.0,3436,11.0,70,1,18.0
4,304.0,8,150.0,3433,12.0,70,1,16.0
5,302.0,8,140.0,3449,10.5,70,1,17.0
6,429.0,8,198.0,4341,10.0,70,1,15.0
7,454.0,8,220.0,4354,9.0,70,1,14.0
8,440.0,8,215.0,4312,8.5,70,1,14.0
9,455.0,8,225.0,4425,10.0,70,1,14.0
10,390.0,8,190.0,3850,8.5,70,1,15.0
11,383.0,8,170.0,3563,10.0,70,1,15.0
12,340.0,8,160.0,3609,8.0,70,1,14.0
13,400.0,8,150.0,3761,9.5,70,1,15.0
14,455.0,8,225.0,3086,10.0,70,1,14.0
15,113.0,4,95.0,2372,15.0,70,3,24.0
16,198.0,6,95.0,2833,15.5,70,1,22.0
17,199.0,6,97.0,2774,15.5,70,1,18.0
18,200.0,6,85.0,2587,16.0,70,1,21.0
19,97.0,4,88.0,2130,14.5,70,3,27.0
20,97.0,4,46.0,1835,20.5,70,2,26.0
21,110.0,4,87.0,2672,17.5,70,2,25.0
22,107.0,4,90.0,2430,14.5,70,2,24.0
23,104.0,4,95.0,2375,17.5,70,2,25.0
24,121.0,4,113.0,2234,12.5,70,2,26.0
25,199.0,6,90.0,2648,15.0,70,1,21.0
26,360.0,8,215.0,4615,14.0,70,1,10.0
27,307.0,8,200.0,4376,15.0,70,1,10.0
28,318.0,8,210.0,4382,13.5,70,1,11.0
29,304.0,8,193.0,4732,18.5,70,1,9.0
30,97.0,4,88.0,2130,14.5,71,3,27.0
31,140.0,4,90.0,2264,15.5,71,1,28.0
32,113.0,4,95.0,2228,14.0,71,3,25.0
33,98.0,4,,2046,19.0,71,1,25.0
34,232.0,6,100.0,2634,13.0,71,1,19.0
35,225.0,6,105.0,3439,15.5,71,1,16.0
36,250.0,6,100.0,3329,15.5,71,1,17.0
37,250.0,6,88.0,3302,15.5,71,1,19.0
38,232.0,6,100.0,3288,15.5,71,1,18.0
39,350.0,8,165.0,4209,12.0,71,1,14.0
40,400.0,8,175.0,4464,11.5,71,1,14.0
41,351.0,8,153.0,4154,13.5,71,1,14.0
42,318.0,8,150.0,4096,13.0,71,1,14.0
43,383.0,8,180.0,4955,11.5,71,1,12.0
44,400.0,8,170.0,4746,12.0,71,1,13.0
45,400.0,8,175.0,5140,12.0,71,1,13.0
46,258.0,6,110.0,2962,13.5,71,1,18.0
47,140.0,4,72.0,2408,19.0,71,1,22.0
48,250.0,6,100.0,3282,15.0,71,1,19.0
49,250.0,6,88.0,3139,14.5,71,1,18.0
50,122.0,4,86.0,2220,14.0,71,1,23.0
51,116.0,4,90.0,2123,14.0,71,2,28.0
52,79.0,4,70.0,2074,19.5,71,2,30.0
53,88.0,4,76.0,2065,14.5,71,2,30.0
54,71.0,4,65.0,1773,19.0,71,3,31.0
55,72.0,4,69.0,1613,18.0,71,3,35.0
56,97.0,4,60.0,1834,19.0,71,2,27.0
57,91.0,4,70.0,1955,20.5,71,1,26.0
58,113.0,4,95.0,2278,15.5,72,3,24.0
59,97.5,4,80.0,2126,17.0,72,1,25.0
60,97.0,4,54.0,2254,23.5,72,2,23.0
61,140.0,4,90.0,2408,19.5,72,1,20.0
62,122.0,4,86.0,2226,16.5,72,1,21.0
63,350.0,8,165.0,4274,12.0,72,1,13.0
64,400.0,8,175.0,4385,12.0,72,1,14.0
65,318.0,8,150.0,4135,13.5,72,1,15.0
66,351.0,8,153.0,4129,13.0,72,1,14.0
67,304.0,8,150.0,3672,11.5,72,1,17.0
68,429.0,8,208.0,4633,11.0,72,1,11.0
69,350.0,8,155.0,4502,13.5,72,1,13.0
70,350.0,8,160.0,4456,13.5,72,1,12.0
71,400.0,8,190.0,4422,12.5,72,1,13.0
72,70.0,3,97.0,2330,13.5,72,3,19.0
73,304.0,8,150.0,3892,12.5,72,1,15.0
74,307.0,8,130.0,4098,14.0,72,1,13.0
75,302.0,8,140.0,4294,16.0,72,1,13.0
76,318.0,8,150.0,4077,14.0,72,1,14.0
77,121.0,4,112.0,2933,14.5,72,2,18.0
78,121.0,4,76.0,2511,18.0,72,2,22.0
79,120.0,4,87.0,2979,19.5,72,2,21.0
80,96.0,4,69.0,2189,18.0,72,2,26.0
81,122.0,4,86.0,2395,16.0,72,1,22.0
82,97.0,4,92.0,2288,17.0,72,3,28.0
83,120.0,4,97.0,2506,14.5,72,3,23.0
84,98.0,4,80.0,2164,15.0,72,1,28.0
85,97.0,4,88.0,2100,16.5,72,3,27.0
86,350.0,8,175.0,4100,13.0,73,1,13.0
87,304.0,8,150.0,3672,11.5,73,1,14.0
88,350.0,8,145.0,3988,13.0,73,1,13.0
89,302.0,8,137.0,4042,14.5,73,1,14.0
90,318.0,8,150.0,3777,12.5,73,1,15.0
91,429.0,8,198.0,4952,11.5,73,1,12.0
92,400.0,8,150.0,4464,12.0,73,1,13.0
93,351.0,8,158.0,4363,13.0,73,1,13.0
94,318.0,8,150.0,4237,14.5,73,1,14.0
95,440.0,8,215.0,4735,11.0,73,1,13.0
96,455.0,8,225.0,4951,11.0,73,1,12.0
97,360.0,8,175.0,3821,11.0,73,1,13.0
98,225.0,6,105.0,3121,16.5,73,1,18.0
99,250.0,6,100.0,3278,18.0,73,1,16.0
100,232.0,6,100.0,2945,16.0,73,1,18.0
101,250.0,6,88.0,3021,16.5,73,1,18.0
102,198.0,6,95.0,2904,16.0,73,1,23.0
103,97.0,4,46.0,1950,21.0,73,2,26.0
104,400.0,8,150.0,4997,14.0,73,1,11.0
105,400.0,8,167.0,4906,12.5,73,1,12.0
106,360.0,8,170.0,4654,13.0,73,1,13.0
107,350.0,8,180.0,4499,12.5,73,1,12.0
108,232.0,6,100.0,2789,15.0,73,1,18.0
109,97.0,4,88.0,2279,19.0,73,3,20.0
110,140.0,4,72.0,2401,19.5,73,1,21.0
111,108.0,4,94.0,2379,16.5,73,3,22.0
112,70.0,3,90.0,2124,13.5,73,3,18.0
113,122.0,4,85.0,2310,18.5,73,1,19.0
114,155.0,6,107.0,2472,14.0,73,1,21.0
115,98.0,4,90.0,2265,15.5,73,2,26.0
116,350.0,8,145.0,4082,13.0,73,1,15.0
117,400.0,8,230.0,4278,9.5,73,1,16.0
118,68.0,4,49.0,1867,19.5,73,2,29.0
119,116.0,4,75.0,2158,15.5,73,2,24.0
120,114.0,4,91.0,2582,14.0,73,2,20.0
121,121.0,4,112.0,2868,15.5,73,2,19.0
122,318.0,8,150.0,3399,11.0,73,1,15.0
123,121.0,4,110.0,2660,14.0,73,2,24.0
124,156.0,6,122.0,2807,13.5,73,3,20.0
125,350.0,8,180.0,3664,11.0,73,1,11.0
126,198.0,6,95.0,3102,16.5,74,1,20.0
127,200.0,6,,2875,17.0,74,1,21.0
128,232.0,6,100.0,2901,16.0,74,1,19.0
129,250.0,6,100.0,3336,17.0,74,1,15.0
130,79.0,4,67.0,1950,19.0,74,3,31.0
131,122.0,4,80.0,2451,16.5,74,1,26.0
132,71.0,4,65.0,1836,21.0,74,3,32.0
133,140.0,4,75.0,2542,17.0,74,1,25.0
134,250.0,6,100.0,3781,17.0,74,1,16.0
135,258.0,6,110.0,3632,18.0,74,1,16.0
136,225.0,6,105.0,3613,16.5,74,1,18.0
137,302.0,8,140.0,4141,14.0,74,1,16.0
138,350.0,8,150.0,4699,14.5,74,1,13.0
139,318.0,8,150.0,4457,13.5,74,1,14.0
140,302.0,8,140.0,4638,16.0,74,1,14.0
141,304.0,8,150.0,4257,15.5,74,1,14.0
142,98.0,4,83.0,2219,16.5,74,2,29.0
143,79.0,4,67.0,1963,15.5,74,2,26.0
144,97.0,4,78.0,2300,14.5,74,2,26.0
145,76.0,4,52.0,1649,16.5,74,3,31.0
146,83.0,4,61.0,2003,19.0,74,3,32.0
147,90.0,4,75.0,2125,14.5,74,1,28.0
148,90.0,4,75.0,2108,15.5,74,2,24.0
149,116.0,4,75.0,2246,14.0,74,2,26.0
150,120.0,4,97.0,2489,15.0,74,3,24.0
151,108.0,4,93.0,2391,15.5,74,3,26.0
152,79.0,4,67.0,2000,16.0,74,2,31.0
153,225.0,6,95.0,3264,16.0,75,1,19.0
154,250.0,6,105.0,3459,16.0,75,1,18.0
155,250.0,6,72.0,3432,21.0,75,1,15.0
156,250.0,6,72.0,3158,19.5,75,1,15.0
157,400.0,8,170.0,4668,11.5,75,1,16.0
158,350.0,8,145.0,4440,14.0,75,1,15.0
159,318.0,8,150.0,4498,14.5,75,1,16.0
160,351.0,8,148.0,4657,13.5,75,1,14.0
161,231.0,6,110.0,3907,21.0,75,1,17.0
162,250.0,6,105.0,3897,18.5,75,1,16.0
163,258.0,6,110.0,3730,19.0,75,1,15.0
164,225.0,6,95.0,3785,19.0,75,1,18.0
165,231.0,6,110.0,3039,15.0,75,1,21.0
166,262.0,8,110.0,3221,13.5,75,1,20.0
167,302.0,8,129.0,3169,12.0,75,1,13.0
168,97.0,4,75.0,2171,16.0,75,3,29.0
169,140.0,4,83.0,2639,17.0,75,1,23.0
170,232.0,6,100.0,2914,16.0,75,1,20.0
171,140.0,4,78.0,2592,18.5,75,1,23.0
172,134.0,4,96.0,2702,13.5,75,3,24.0
173,90.0,4,71.0,2223,16.5,75,2,25.0
174,119.0,4,97.0,2545,17.0,75,3,24.0
175,171.0,6,97.0,2984,14.5,75,1,18.0
176,90.0,4,70.0,1937,14.0,75,2,29.0
177,232.0,6,90.0,3211,17.0,75,1,19.0
178,115.0,4,95.0,2694,15.0,75,2,23.0
179,120.0,4,88.0,2957,17.0,75,2,23.0
180,121.0,4,98.0,2945,14.5,75,2,22.0
181,121.0,4,115.0,2671,13.5,75,2,25.0
182,91.0,4,53.0,1795,17.5,75,3,33.0
183,107.0,4,86.0,2464,15.5,76,2,28.0
184,116.0,4,81.0,2220,16.9,76,2,25.0
185,140.0,4,92.0,2572,14.9,76,1,25.0
186,98.0,4,79.0,2255,17.7,76,1,26.0
187,101.0,4,83.0,2202,15.3,76,2,27.0
188,305.0,8,140.0,4215,13.0,76,1,17.5
189,318.0,8,150.0,4190,13.0,76,1,16.0
190,304.0,8,120.0,3962,13.9,76,1,15.5
191,351.0,8,152.0,4215,12.8,76,1,14.5
192,225.0,6,100.0,3233,15.4,76,1,22.0
193,250.0,6,105.0,3353,14.5,76,1,22.0
194,200.0,6,81.0,3012,17.6,76,1,24.0
195,232.0,6,90.0,3085,17.6,76,1,22.5
196,85.0,4,52.0,2035,22.2,76,1,29.0
197,98.0,4,60.0,2164,22.1,76,1,24.5
198,90.0,4,70.0,1937,14.2,76,2,29.0
199,91.0,4,53.0,1795,17.4,76,3,33.0
200,225.0,6,100.0,3651,17.7,76,1,20.0
201,250.0,6,78.0,3574,21.0,76,1,18.0
202,250.0,6,110.0,3645,16.2,76,1,18.5
203,258.0,6,95.0,3193,17.8,76,1,17.5
204,97.0,4,71.0,1825,12.2,76,2,29.5
205,85.0,4,70.0,1990,17.0,76,3,32.0
206,97.0,4,75.0,2155,16.4,76,3,28.0
207,140.0,4,72.0,2565,13.6,76,1,26.5
208,130.0,4,102.0,3150,15.7,76,2,20.0
209,318.0,8,150.0,3940,13.2,76,1,13.0
210,120.0,4,88.0,3270,21.9,76,2,19.0
211,156.0,6,108.0,2930,15.5,76,3,19.0
212,168.0,6,120.0,3820,16.7,76,2,16.5
213,350.0,8,180.0,4380,12.1,76,1,16.5
214,350.0,8,145.0,4055,12.0,76,1,13.0
215,302.0,8,130.0,3870,15.0,76,1,13.0
216,318.0,8,150.0,3755,14.0,76,1,13.0
217,98.0,4,68.0,2045,18.5,77,3,31.5
218,111.0,4,80.0,2155,14.8,77,1,30.0
219,79.0,4,58.0,1825,18.6,77,2,36.0
220,122.0,4,96.0,2300,15.5,77,1,25.5
221,85.0,4,70.0,1945,16.8,77,3,33.5
222,305.0,8,145.0,3880,12.5,77,1,17.5
