RATING,RunTime,Gross,Votes_Numeric
6.9,118.0,75.47,205979.0
8.1,127.0,402.45,897444.0
7.1,88.0,89.22,237601.0
8.8,178.0,315.54,1713028.0
6.4,99.0,57.01,99351.0
8.0,124.0,260.0,558731.0
8.5,151.0,132.38,1227522.0
8.1,149.0,167.77,895888.0
6.9,119.0,404.52,337900.0
7.6,101.0,15.07,517014.0
8.1,111.0,70.1,1034554.0
7.6,117.0,210.61,751815.0
7.3,135.0,327.48,480607.0
7.5,129.0,390.53,363012.0
7.8,169.0,303.0,774632.0
6.8,97.0,56.63,194461.0
5.5,116.0,58.06,170844.0
7.1,137.0,353.01,371194.0
7.6,121.0,46.89,387903.0
7.8,209.0,7.0,345455.0
8.9,201.0,377.85,1691777.0
7.6,113.0,107.83,468655.0
7.3,121.0,403.71,709684.0
6.7,123.0,316.83,205638.0
7.9,116.0,100.55,623912.0
8.2,114.0,28.26,752553.0
7.2,110.0,188.76,250587.0
6.7,112.0,213.52,390167.0
6.6,136.0,226.01,215795.0
7.8,147.0,408.08,697750.0
8.6,125.0,10.06,682809.0
6.1,115.0,14.84,43896.0
6.6,118.0,168.05,294292.0
8.0,156.0,183.64,732244.0
8.7,179.0,342.55,1529752.0
6.3,96.0,96.52,195752.0
6.3,110.0,140.22,197909.0
6.5,129.0,172.56,276173.0
8.3,149.0,56.95,622998.0
6.4,152.0,330.36,657423.0
6.6,121.0,17.8,201141.0
7.5,109.0,0.2,115289.0
7.7,94.0,56.82,399157.0
8.0,137.0,66.21,706053.0
7.6,133.0,75.61,386263.0
7.1,126.0,4.56,335946.0
6.2,102.0,106.58,286734.0
8.4,106.0,5.02,217433.0
7.2,102.0,22.68,103143.0
5.8,116.0,102.92,73931.0
7.0,107.0,110.52,391033.0
7.1,129.0,504.01,284484.0
7.6,102.0,26.86,211816.0
7.9,137.0,2.0,266307.0
6.8,115.0,32.73,293459.0
7.7,107.0,33.8,218337.0
7.4,102.0,400.74,586769.0
7.6,114.0,19.02,208903.0
7.4,116.0,36.26,295435.0
5.1,119.0,6.67,60354.0
7.8,94.0,45.51,328550.0
6.7,106.0,75.66,290444.0
7.7,101.0,0.33,117889.0
7.8,100.0,4.0,186202.0
6.5,100.0,20.16,113476.0
8.1,128.0,95.86,443357.0
7.1,119.0,176.48,298729.0
6.4,89.0,126.66,462122.0
5.4,110.0,80.1,177592.0
7.7,119.0,42.34,595946.0
4.9,99.0,0.04,87474.0
8.2,119.0,4.71,351466.0
7.2,115.0,117.72,614056.0
6.6,129.0,229.09,390425.0
5.3,109.0,33.7,99724.0
6.1,89.0,97.69,181775.0
7.3,133.0,21.15,189815.0
7.4,111.0,27.85,285273.0
6.9,122.0,25.02,128605.0
7.5,150.0,100.92,261289.0
7.0,97.0,0.8,58051.0
5.4,127.0,31.15,109959.0
7.1,95.0,143.53,141657.0
6.6,114.0,61.74,228812.0
8.0,112.0,33.4,170681.0
5.7,135.0,24.45,102222.0
7.5,121.0,125.1,273061.0
7.2,115.0,12.79,134759.0
8.4,134.0,2.38,359473.0
5.7,103.0,136.19,106580.0
6.1,107.0,101.03,151688.0
7.2,98.0,187.17,200206.0
6.8,154.0,158.35,124972.0
6.6,109.0,0.01,21572.0
6.3,107.0,34.02,68094.0
7.9,133.0,57.23,188459.0
6.8,113.0,63.69,253999.0
7.9,101.0,5.2,118166.0
8.2,91.0,1.23,513289.0
7.2,133.0,10.21,13196.0
6.7,115.0,51.69,182505.0
7.2,107.0,123.48,245778.0
6.5,101.0,60.46,103765.0
5.5,88.0,112.72,111413.0
6.3,131.0,73.1,211395.0
4.4,92.0,0.18,75214.0
6.7,102.0,152.9,83135.0
7.4,124.0,52.42,223775.0
6.7,117.0,77.22,250321.0
6.3,103.0,54.76,179783.0
6.4,111.0,21.36,48354.0
8.3,228.0,44.82,276605.0
6.3,106.0,37.77,215049.0
8.0,84.0,218.97,425384.0
7.3,97.0,486.3,250953.0
7.0,140.0,97.1,288097.0
7.5,94.0,18.34,357144.0
5.9,92.0,181.17,302292.0
6.4,108.0,0.1,39034.0
6.2,118.0,58.88,244708.0
6.6,107.0,80.04,73935.0
7.5,117.0,38.32,135157.0
5.7,90.0,29.21,46932.0
7.1,119.0,11.11,171124.0
5.3,118.0,0.18,28243.0
6.5,129.0,65.08,261079.0
6.0,103.0,67.63,230565.0
7.4,78.0,89.3,187523.0
7.1,107.0,61.43,158184.0
6.4,83.0,59.65,287003.0
7.0,95.0,3.22,112522.0
7.2,116.0,81.9,141624.0
7.9,197.0,30.0,128685.0
8.2,86.0,1.11,305790.0
6.4,107.0,18.64,88608.0
6.9,129.0,148.73,356979.0
6.9,119.0,156.65,79936.0
6.5,130.0,103.37,70985.0
6.7,109.0,35.66,140790.0
5.4,106.0,8.55,38364.0
6.3,97.0,167.51,62255.0
6.3,115.0,12.63,69234.0
7.3,95.0,41.73,104511.0
7.3,101.0,41.23,203383.0
7.3,85.0,145.79,175052.0
6.6,122.0,17.61,36593.0
7.1,85.0,1.36,140930.0
5.9,95.0,51.44,82876.0
6.7,115.0,25.13,233030.0
8.1,94.0,20.05,378134.0
6.4,108.0,36.67,97146.0
5.5,107.0,26.83,87437.0
5.9,102.0,35.59,117026.0
6.5,102.0,15.5,33065.0
6.5,101.0,34.02,86929.0
6.6,95.0,18.47,92232.0
7.3,118.0,58.01,222054.0
5.5,105.0,78.75,135509.0
7.9,220.0,93.74,66532.0
6.4,129.0,10.38,54010.0
5.7,109.0,10.51,61545.0
7.3,98.0,368.06,377936.0
6.3,130.0,234.91,201707.0
6.0,100.0,18.6,44487.0
6.0,108.0,89.26,183595.0
6.8,116.0,11.33,110076.0
5.7,138.0,101.2,247033.0
6.2,107.0,57.74,59882.0
7.6,122.0,24.15,300344.0
7.3,98.0,33.41,195580.0
6.6,103.0,85.02,296948.0
5.2,113.0,21.3,96638.0
7.0,132.0,4.36,21366.0
7.4,104.0,16.17,147794.0
6.6,100.0,0.23,100313.0
6.2,95.0,94.9,49826.0
6.2,100.0,0.03,68546.0
7.8,103.0,40.44,66462.0
7.7,101.0,15.09,131204.0
5.7,98.0,21.22,79668.0
3.5,88.0,32.02,67762.0
5.9,90.0,0.02,22359.0
5.5,100.0,47.06,89080.0
6.4,86.0,214.03,103009.0
6.2,113.0,77.04,98302.0
6.6,113.0,1.11,54067.0
7.0,127.0,15.43,70858.0
5.2,105.0,28.21,110028.0
8.1,117.0,0.5,157520.0
6.3,107.0,12.05,135448.0
7.5,120.0,2.06,65455.0
6.5,104.0,44.14,33616.0
5.7,111.0,35.09,61772.0
6.8,106.0,1.94,72326.0
6.2,121.0,27.67,106197.0
5.5,104.0,79.37,165900.0
3.7,93.0,39.18,34853.0
6.3,92.0,139.85,295140.0
6.4,96.0,88.92,209052.0
6.2,93.0,0.01,9324.0
6.2,118.0,30.58,73461.0
3.8,91.0,0.12,36912.0
6.5,118.0,10.88,65672.0
6.5,104.0,65.33,113232.0
6.5,137.0,1.21,67925.0
6.3,116.0,0.03,23476.0
5.9,105.0,54.77,72433.0
5.7,88.0,0.2,10127.0
6.1,111.0,32.94,70935.0
5.7,105.0,5.78,41867.0
6.5,89.0,0.02,33703.0
6.5,94.0,17.14,106164.0
5.4,112.0,0.28,4495.0
6.2,111.0,42.87,62161.0
7.8,126.0,5.21,77732.0
6.6,103.0,0.03,20965.0
7.7,145.0,4.4,74139.0
6.9,103.0,46.91,51788.0
7.7,137.0,0.08,76530.0
5.9,89.0,48.79,65584.0
7.2,128.0,15.54,159090.0
6.0,123.0,44.43,7900.0
6.3,132.0,57.39,31775.0
5.6,95.0,0.19,42895.0
6.2,109.0,19.7,77749.0
6.2,98.0,58.02,82792.0
6.4,109.0,66.53,119261.0
6.7,119.0,92.12,62748.0
5.6,106.0,64.94,85615.0
5.7,106.0,0.0,28118.0
6.4,144.0,6.74,24087.0
7.0,116.0,0.15,28282.0
6.2,107.0,42.4,56610.0
5.6,96.0,0.08,10345.0
7.6,94.0,19.2,84951.0
6.4,99.0,35.07,54763.0
6.4,95.0,119.79,94660.0
6.7,132.0,27.15,61994.0
6.1,110.0,30.69,103973.0
5.7,87.0,0.01,24861.0
8.0,95.0,2.24,100664.0
6.3,99.0,4.72,65679.0
5.7,91.0,90.29,43335.0
7.7,103.0,0.77,35523.0
7.1,91.0,0.51,37373.0
3.9,100.0,2.24,19260.0
6.5,115.0,18.64,10096.0
6.6,120.0,2.01,30649.0
6.0,112.0,14.9,33247.0
6.1,83.0,0.0,5088.0
7.6,133.0,6.17,71916.0
7.4,91.0,1.0,38625.0
6.9,129.0,31.85,99165.0
5.5,100.0,37.66,109473.0
5.4,117.0,30.98,45092.0
6.1,100.0,13.75,35252.0
5.3,93.0,0.01,3531.0
6.0,125.0,5.88,28264.0
7.6,98.0,37.71,96244.0
4.5,88.0,219.61,45491.0
3.8,127.0,4.54,46327.0
4.3,85.0,7.15,8546.0
5.8,104.0,15.01,10048.0
6.4,99.0,0.14,37007.0
8.0,137.0,1.51,41510.0
7.2,64.0,1.6,124409.0
7.7,108.0,1.34,58668.0
7.1,88.0,0.7,28651.0
6.1,109.0,26.18,46040.0
5.8,118.0,1.16,11411.0
7.2,126.0,5.7,45408.0
5.8,115.0,10.64,39993.0
7.1,105.0,2.68,51648.0
6.8,140.0,0.15,16248.0
7.6,118.0,0.45,28969.0
8.1,122.0,1.04,59675.0
6.6,107.0,7.92,51051.0
6.5,91.0,20.28,111533.0
6.4,115.0,0.05,37082.0
7.5,125.0,8.06,90212.0
6.5,110.0,5.02,20085.0
5.8,97.0,1.25,3470.0
5.8,101.0,0.01,19853.0
6.0,90.0,45.02,19549.0
