year,description,total_crime,CrimeGroup
2014,AGG ROBBERY/DEADLY WEAPON     ,405,ASSAULT
2014,BURGLARY NON RESIDENCE        ,1424,BURGLARY
2014,BURGLARY OF RESIDENCE         ,3980,BURGLARY
2014,AUTO THEFT                    ,2188,THEFT
2014,RAPE                          ,365,Other Crimes
2014,AGG ASSAULT                   ,640,ASSAULT
2014,AGG ASLT STRANGLE/SUFFOCATE   ,481,ASSAULT
2014,DEADLY CONDUCT                ,101,Other Crimes
2014,AGG ASLT ENHANC STRANGL/SUFFOC,160,ASSAULT
2014,THEFT BY SHOPLIFTING          ,4284,THEFT
2014,THEFT FROM PERSON             ,448,THEFT
2014,BURGLARY OF VEHICLE           ,9993,BURGLARY
2014,THEFT FROM AUTO               ,541,THEFT
2014,THEFT                         ,11040,THEFT
2014,THEFT OF METAL                ,279,THEFT
2014,BREACH OF COMPUTER SECURITY   ,98,Other Crimes
2014,THEFT OF BICYCLE              ,1493,THEFT
2014,AGG RAPE                      ,14,ASSAULT
2014,THEFT OF LICENSE PLATE        ,454,THEFT
2014,AGG RAPE OF A CHILD           ,108,ASSAULT
2014,RAPE OF A CHILD               ,74,Other Crimes
2014,BURG NON RESIDENCE SHEDS      ,261,Other Crimes
2015,THEFT                         ,10742,THEFT
2015,RAPE                          ,305,Other Crimes
2015,BURGLARY OF VEHICLE           ,9446,BURGLARY
2015,THEFT OF HEAVY EQUIPMENT      ,10,THEFT
2015,THEFT FROM PERSON             ,440,THEFT
2015,THEFT OF BICYCLE              ,1395,THEFT
2015,AUTO THEFT                    ,2018,THEFT
2015,AGG ROBBERY/DEADLY WEAPON     ,445,ASSAULT
2015,THEFT BY SHOPLIFTING          ,4126,THEFT
2015,THEFT OF AUTO PARTS           ,247,THEFT
2015,RAPE OF A CHILD               ,75,Other Crimes
2015,AGG ASSAULT FAM/DATE VIOLENCE ,319,ASSAULT
2015,AGG ASSAULT                   ,659,ASSAULT
2015,BURGLARY NON RESIDENCE        ,1422,BURGLARY
2015,AGG ASLT STRANGLE/SUFFOCATE   ,604,ASSAULT
2015,ROBBERY BY ASSAULT            ,371,Other Crimes
2015,BURG NON RESIDENCE SHEDS      ,259,Other Crimes
2015,THEFT OF LICENSE PLATE        ,453,THEFT
2015,BURGLARY OF RESIDENCE         ,3238,BURGLARY
2016,THEFT BY SHOPLIFTING          ,3424,THEFT
2016,THEFT                         ,10442,THEFT
2016,BURGLARY OF VEHICLE           ,8505,BURGLARY
