year,zipcode,total_crime,year_str
2014,78731,527,2014
2015,78731,566,2015
2016,78731,512,2016
2014,78751,926,2014
2015,78751,927,2015
2016,78751,914,2016
2016,78756,326,2016
2014,78756,355,2014
2015,78756,352,2015
2014,78705,1138,2014
2016,78705,1134,2016
2015,78705,1346,2015
2014,78723,2083,2014
2015,78723,2124,2015
2016,78723,2041,2016
2014,78722,347,2014
2015,78722,332,2015
2016,78722,261,2016
2016,78712,7,2016
2014,78712,12,2014
2015,78712,3,2015
2015,78701,2103,2015
2014,78701,2036,2014
2016,78701,2076,2016
2014,78702,2196,2014
2015,78702,1668,2015
2016,78702,1582,2016
2014,78721,639,2014
2015,78721,482,2015
2016,78721,515,2016
2015,78703,738,2015
2016,78703,660,2016
2014,78703,660,2014
2014,78704,2715,2014
2015,78704,2571,2015
2016,78704,2557,2016
2016,78745,2245,2016
2015,78745,2422,2015
2014,78745,2577,2014
2014,78741,3394,2014
2016,78741,3355,2016
2015,78741,2973,2015
2014,78757,1098,2014
2015,78757,1186,2015
2016,78757,1074,2016
2014,78752,1321,2014
2016,78752,1289,2016
2015,78752,1178,2015
2014,78750,409,2014
2016,78759,1198,2016
2014,78759,1557,2014
2015,78759,1403,2015
2014,78726,204,2014
2015,78726,237,2015
2016,78726,221,2016
2016,78750,340,2016
2015,78750,419,2015
2015,78749,845,2015
2016,78737,1,2016
2014,78737,2,2014
2015,78737,4,2015
2014,78749,818,2014
2016,78749,790,2016
2016,78739,151,2016
2014,78739,133,2014
2015,78739,185,2015
2015,78727,539,2015
2016,78727,538,2016
2014,78727,532,2014
2014,78748,1550,2014
2015,78748,1536,2015
2016,78748,1372,2016
2015,78758,2563,2015
2014,78758,2826,2014
2016,78758,2499,2016
2015,78730,47,2015
2014,78730,51,2014
2016,78730,46,2016
2014,78732,3,2014
2015,78732,1,2015
2016,78732,1,2016
2016,78736,115,2016
2014,78736,57,2014
2015,78736,71,2015
2016,78735,300,2016
2014,78733,2,2014
2016,78729,564,2016
2015,78729,493,2015
2014,78729,469,2014
2014,78753,3935,2014
2015,78753,3472,2015
2016,78753,3134,2016
2014,78754,457,2014
2016,78754,413,2016
2015,78754,428,2015
2016,78660,179,2016
2014,78660,146,2014
2015,78660,114,2015
2014,78653,21,2014
2016,78653,48,2016
2015,78653,27,2015
2016,78728,7,2016
2014,78728,8,2014
2015,78728,13,2015
2014,78735,280,2014
2015,78735,298,2015
2014,78746,790,2014
2016,78746,826,2016
2015,78746,812,2015
2015,78733,1,2015
2014,78725,76,2014
2015,78725,45,2015
2016,78725,72,2016
2014,78724,537,2014
2015,78724,562,2015
2016,78724,540,2016
2014,78742,46,2014
2014,78617,274,2014
2016,78742,58,2016
2016,78617,285,2016
2015,78617,276,2015
2015,78742,30,2015
2015,78747,275,2015
2014,78652,3,2014
2016,78652,16,2016
2015,78652,13,2015
2016,78747,229,2016
2014,78744,2195,2014
2015,78744,1921,2015
2016,78744,1990,2016
2014,78747,249,2014
2014,78610,2,2014
2014,78719,127,2014
2016,78717,305,2016
2015,78717,237,2015
2014,78717,257,2014
2015,78613,390,2015
2016,78613,341,2016
2014,78613,404,2014
2016,78664,2,2016
2015,78719,186,2015
2016,78719,165,2016
