state,event_type,magnitude_type,magnitude
Ha,high wind,MG,144.0
Ca,high wind,MG,139.0
Ca,high wind,MG,136.0
Ut,high wind,MG,129.0
Ut,high wind,MG,113.0
So,thunderstorm wind,EG,113.0
Wy,high wind,MG,111.0
So,thunderstorm wind,EG,109.0
So,thunderstorm wind,MG,104.0
So,thunderstorm wind,EG,104.0
Ca,high wind,MG,104.0
So,thunderstorm wind,MG,104.0
No,thunderstorm wind,EG,104.0
Oh,thunderstorm wind,EG,104.0
Oh,thunderstorm wind,EG,104.0
No,thunderstorm wind,EG,104.0
Ca,high wind,MG,103.0
Ne,high wind,MG,101.0
Ca,high wind,MG,101.0
Co,high wind,MG,101.0
Ka,thunderstorm wind,EG,100.0
Ca,high wind,MG,98.0
Ca,high wind,MG,97.0
Ne,high wind,MG,97.0
Wy,high wind,MG,96.0
Ca,high wind,MG,96.0
No,thunderstorm wind,EG,96.0
De,thunderstorm wind,EG,96.0
No,thunderstorm wind,EG,96.0
De,thunderstorm wind,EG,96.0
So,thunderstorm wind,EG,96.0
De,thunderstorm wind,EG,96.0
Mi,thunderstorm wind,EG,96.0
Pe,thunderstorm wind,EG,96.0
Ka,thunderstorm wind,EG,96.0
Ca,high wind,MG,96.0
Mi,thunderstorm wind,EG,96.0
Pe,thunderstorm wind,EG,96.0
Ca,high wind,MG,96.0
Ca,high wind,MG,95.0
Ca,high wind,MG,95.0
Wy,high wind,MG,95.0
Ne,high wind,MG,95.0
Ca,high wind,MG,95.0
Ne,high wind,MG,94.0
Ca,high wind,MG,94.0
So,thunderstorm wind,MG,93.0
Wy,high wind,MG,93.0
Co,high wind,MG,92.0
Co,high wind,MG,91.0
So,thunderstorm wind,EG,91.0
So,thunderstorm wind,EG,91.0
Ne,thunderstorm wind,EG,91.0
Ca,high wind,MG,91.0
Te,thunderstorm wind,EG,91.0
Wa,high wind,MG,90.0
Ne,high wind,MG,90.0
Ca,high wind,MG,90.0
Ne,high wind,MG,90.0
Ca,high wind,MG,90.0
Ca,high wind,MG,89.0
Ca,high wind,MG,89.0
Ca,high wind,MG,89.0
So,thunderstorm wind,MG,89.0
We,thunderstorm wind,MG,89.0
Ca,high wind,MG,88.0
Ca,high wind,MG,88.0
Oh,thunderstorm wind,EG,87.0
Te,thunderstorm wind,EG,87.0
In,thunderstorm wind,EG,87.0
In,thunderstorm wind,EG,87.0
Ka,thunderstorm wind,EG,87.0
Ka,thunderstorm wind,EG,87.0
Co,high wind,MG,87.0
Ok,thunderstorm wind,EG,87.0
