"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2020-01-01","36.0","13.0","0.00","0.00","5.00"
"2020-01-02","37.0","31.0","0.00","0.00","5.00"
"2020-01-03","36.0","24.0","T","T","4.00"
"2020-01-04","30.0","24.0","0.00","0.00","4.00"
"2020-01-05","38.0","24.0","0.01","T","4.00"
"2020-01-06","36.0","22.0","0.00","0.00","3.00"
"2020-01-07","32.0","5.0","0.00","0.00","3.00"
"2020-01-08","17.0","1.0","0.00","0.00","3.00"
"2020-01-09","36.0","17.0","0.00","0.00","3.00"
"2020-01-10","24.0","8.0","T","T","3.00"
"2020-01-11","16.0","-1.0","0.00","0.00","3.00"
"2020-01-12","20.0","9.0","0.11","0.80","3.00"
"2020-01-13","28.0","15.0","0.10","1.00","4.00"
"2020-01-14","32.0","17.0","0.01","0.00","5.00"
"2020-01-15","24.0","-2.0","0.01","T","5.00"
"2020-01-16","6.0","-9.0","0.00","0.00","5.00"
"2020-01-17","25.0","-1.0","0.35","4.70","5.00"
"2020-01-18","26.0","0.0","0.06","0.20","9.00"
"2020-01-19","12.0","0.0","0.01","0.50","8.00"
"2020-01-20","18.0","2.0","0.03","0.40","8.00"
"2020-01-21","20.0","-2.0","0.00","0.00","8.00"
"2020-01-22","37.0","19.0","0.17","0.60","8.00"
"2020-01-23","33.0","30.0","0.06","1.00","8.00"
"2020-01-24","32.0","29.0","T","T","8.00"
"2020-01-25","33.0","27.0","T","T","7.00"
"2020-01-26","30.0","25.0","0.00","0.00","7.00"
"2020-01-27","27.0","21.0","T","0.00","7.00"
"2020-01-28","22.0","18.0","T","T","7.00"
"2020-01-29","22.0","18.0","T","T","7.00"
"2020-01-30","27.0","18.0","T","T","7.00"
"2020-01-31","34.0","27.0","0.05","0.60","7.00"
"2020-02-01","38.0","27.0","0.00","0.00","7.00"
"2020-02-02","46.0","31.0","0.00","0.00","6.00"
"2020-02-03","32.0","20.0","0.00","0.00","5.00"
"2020-02-04","24.0","10.0","0.00","0.00","5.00"
"2020-02-05","30.0","11.0","0.00","0.00","5.00"
"2020-02-06","32.0","11.0","0.00","T","5.00"
"2020-02-07","30.0","13.0","0.03","0.50","5.00"
"2020-02-08","20.0","-3.0","0.00","0.00","5.00"
"2020-02-09","27.0","9.0","0.38","4.80","6.00"
"2020-02-10","30.0","7.0","0.01","0.20","10.00"
"2020-02-11","30.0","21.0","T","T","10.00"
"2020-02-12","35.0","0.0","T","T","10.00"
"2020-02-13","1.0","-11.0","0.00","0.00","9.00"
"2020-02-14","15.0","-12.0","0.00","0.00","9.00"
"2020-02-15","36.0","15.0","0.00","0.00","8.00"
"2020-02-16","24.0","14.0","0.00","0.00","8.00"
"2020-02-17","35.0","22.0","0.16","2.00","8.00"
"2020-02-18","26.0","5.0","0.00","0.00","9.00"
"2020-02-19","14.0","0.0","0.00","0.00","9.00"
"2020-02-20","14.0","-6.0","0.00","0.00","9.00"
"2020-02-21","37.0","12.0","0.00","0.00","8.00"
"2020-02-22","42.0","18.0","0.00","0.00","8.00"
"2020-02-23","44.0","27.0","0.00","0.00","7.00"
"2020-02-24","42.0","23.0","0.00","0.00","5.00"
"2020-02-25","38.0","28.0","0.00","0.00","4.00"
