County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_Birth_Weight_gms
Calhoun County,AL,1265,26.67,38.11,3168.14
Tulsa County,OK,8933,28.13,38.18,3243.39
Carroll County,GA,1540,27.2,38.5,3253.35
Saginaw County,MI,2182,27.41,38.75,3226.9
Hillsborough County,FL,17126,28.97,38.41,3230.36
Lake County,IN,5785,28.12,38.41,3243.64
St. Tammany Parish,LA,2932,29.12,38.31,3263.36
Osceola County,FL,4437,28.64,38.3,3231.13
Sarpy County,NE,2386,29.43,38.3,3344.03
Kane County,IL,6337,29.63,38.29,3288.64
San Juan County,NM,1444,27.5,38.62,3236.43
Douglas County,KS,1116,29.43,38.44,3277.79
Denton County,TX,9857,30.03,38.44,3291.52
Hays County,TX,2572,29.41,38.35,3307.68
Davis County,UT,5302,29.18,38.34,3277.75
Manatee County,FL,3452,28.56,38.5,3293.64
New Haven County,CT,8519,30.06,38.57,3280.8
San Mateo County,CA,8330,32.38,38.65,3292.79
San Luis Obispo County,CA,2445,30.08,38.64,3354.12
Canyon County,ID,2918,27.71,38.47,3302.05
Cherokee County,GA,2562,29.75,38.46,3319.59
Stanislaus County,CA,7364,28.52,38.6,3334.05
Monterey County,CA,5895,28.87,38.68,3318.25
Orange County,NY,5065,29.74,38.83,3305.78
Marin County,CA,2127,33.34,38.89,3373.09
Rapides Parish,LA,1717,26.85,38.07,3153.45
Bossier Parish,LA,1693,27.67,37.95,3181.81
Lexington County,SC,3224,28.41,38.29,3263.56
Henry County,GA,2705,28.65,38.11,3158.09
Orleans Parish,LA,4656,29.09,38.09,3107.58
Miami-Dade County,FL,31032,30.24,38.34,3227.87
Pulaski County,AR,5123,28.06,38.17,3172.79
Brazos County,TX,2584,28.32,38.33,3263.53
Salt Lake County,UT,15998,29.02,38.41,3242.21
Clark County,NV,26773,28.85,38.4,3219.97
Sullivan County,TN,1506,27.36,38.46,3283.37
Jefferson County,KY,9584,28.6,38.29,3248.57
Bronx County,NY,20121,29.22,38.54,3194.43
Lake County,FL,3368,28.48,38.35,3249.44
Unidentified Counties,MO,30650,27.16,38.42,3289.12
Henrico County,VA,3911,30.1,38.49,3268.36
Yolo County,CA,2135,30.25,38.72,3367.47
Northampton County,PA,2909,29.59,38.72,3289.97
Scott County,MN,1717,30.74,38.63,3364.07
Lane County,OR,3327,29.1,38.71,3347.4
Tazewell County,IL,1391,28.63,38.54,3379.54
Unidentified Counties,WI,20974,28.89,38.62,3377.02
Clark County,WA,5482,29.21,38.77,3339.43
Randolph County,NC,1520,27.65,38.42,3286.17
Ocean County,NJ,9015,29.58,38.88,3344.46
St. Louis city,MO,4127,28.67,38.15,3124.88
Nueces County,TX,4569,27.57,38.15,3212.21
Marion County,IN,14036,28.2,38.33,3228.69
El Paso County,TX,11721,27.09,38.32,3194.88
Alachua County,FL,2733,29.17,38.26,3189.99
Gwinnett County,GA,10855,29.89,38.34,3209.3
Wilson County,TN,1651,28.94,38.34,3287.09
Craven County,NC,1337,26.94,38.5,3257.81
Rock County,WI,1869,27.95,38.32,3285.34
Luzerne County,PA,3310,28.2,38.48,3250.38
Atlantic County,NJ,2797,28.97,38.56,3268.27
Hernando County,FL,1617,27.94,38.38,3272.6
Denver County,CO,9424,30.26,38.63,3177.99
Warren County,OH,2306,29.88,38.46,3328.96
Citrus County,FL,1025,27.49,38.37,3266.28
Porter County,IN,1677,28.86,38.53,3343.58
Durham County,NC,4152,29.91,38.52,3252.58
Olmsted County,MN,2035,30.36,38.83,3354.74
Cowlitz County,WA,1235,27.54,38.64,3360.75
St. Lawrence County,NY,1080,27.85,38.7,3361.77
Allen County,OH,1248,27.23,38.12,3234.87
Bibb County,GA,2063,26.92,37.93,3078.7
Peoria County,IL,2504,27.86,38.25,3232.15
Fulton County,GA,12652,30.02,38.3,3152.2
Washington County,AR,3227,27.89,38.28,3249.12
Unidentified Counties,KS,16535,27.53,38.44,3300.32
Coweta County,GA,1575,28.65,38.17,3241.87
Jefferson County,CO,5654,30.8,38.75,3213.86
Unidentified Counties,MN,22480,28.85,38.58,3375.57
Greene County,MO,3309,27.63,38.49,3329.12
Johnson County,IA,1735,30.63,38.55,3339.94
Eaton County,MI,1106,28.38,38.79,3349.34
Sheboygan County,WI,1270,28.86,38.61,3338.49
Worcester County,MA,8335,30.11,38.59,3289.9
Clackamas County,OR,3886,30.22,38.82,3393.7
Santa Cruz County,CA,2449,30.64,38.81,3345.75
Whatcom County,WA,2161,29.66,38.84,3405.0
Boone County,MO,2050,29.19,38.41,3251.52
Gregg County,TX,1644,26.73,38.07,3213.49
Madison County,IL,2865,28.42,38.15,3227.49
Madison County,IN,1409,26.67,38.23,3243.34
Livingston Parish,LA,1771,27.37,38.2,3252.71
Guadalupe County,TX,1848,28.66,38.19,3269.54
Harris County,TX,67095,28.82,38.19,3203.57
Allen County,IN,5240,27.89,38.5,3248.63
Dallas County,TX,38182,28.48,38.4,3235.31
Benton County,AR,3778,28.32,38.31,3291.23
Minnehaha County,SD,2891,28.93,38.64,3314.61
Hudson County,NJ,10234,31.08,38.45,3206.6
Okaloosa County,FL,2717,28.22,38.28,3267.95
Comanche County,OK,1681,26.46,38.36,3258.82
Arapahoe County,CO,7401,29.85,38.52,3181.65
Johnson County,TX,2110,27.36,38.43,3313.48
Brunswick County,NC,987,28.21,38.34,3258.77
Howard County,MD,3405,31.64,38.42,3240.04
Ada County,ID,4861,29.6,38.58,3311.9
Cumberland County,NC,5401,27.22,38.32,3217.31
Dutchess County,NY,2549,30.54,38.64,3328.57
York County,ME,1865,29.47,38.63,3341.72
Wright County,MN,1767,29.86,38.63,3423.11
Placer County,CA,3663,30.99,38.78,3373.06
Unidentified Counties,PA,15927,27.82,38.61,3310.5
Unidentified Counties,RI,1015,30.95,38.79,3348.45
Muscogee County,GA,2864,27.32,38.07,3148.08
Lee County,AL,1810,28.18,38.24,3218.48
Muskegon County,MI,2051,26.91,38.15,3218.18
Unidentified Counties,OK,23234,26.68,38.23,3273.12
Milwaukee County,WI,13032,28.53,38.23,3174.61
Broward County,FL,21928,30.35,38.31,3197.63
Delaware County,IN,1072,27.4,38.3,3286.31
Wayne County,MI,22910,28.23,38.29,3175.08
Macon County,IL,1269,27.05,38.27,3249.77
Cuyahoga County,OH,13870,28.86,38.26,3182.93
Merced County,CA,3875,27.98,38.5,3309.74
Schuylkill County,PA,1272,27.87,38.5,3292.76
Monroe County,PA,1518,29.09,38.58,3260.31
DuPage County,IL,10298,31.2,38.49,3303.16
Schenectady County,NY,1840,29.35,38.57,3267.93
Pinal County,AZ,4498,27.81,38.48,3310.29
Montgomery County,MD,12401,31.77,38.56,3293.84
Washington County,WI,1300,30.32,38.39,3335.41
Unidentified Counties,CO,8105,29.0,38.55,3156.18
Honolulu County,HI,12168,29.7,38.38,3226.58
Johnson County,KS,7140,30.65,38.54,3350.41
Santa Fe County,NM,1180,28.78,38.45,3117.33
Hartford County,CT,9239,30.06,38.42,3257.06
